date,status,appeal,address,ward
05/07/19,APPROVED,BOA-907735,4014 Washington Street,Ward 19
05/07/19,APPROVED,BOA-901787,89 Wachusett Street,Ward 19
05/07/19,APPROVED,BOA-844016,95-97 West Walnut Park,Ward 11
05/07/19,APPROVED,BOA-890364,74 Westchester Road,Ward 19
04/30/19,APPROVED,BOA-874359,591 Albany Street,Ward 8
04/30/19,APPROVED,BOA-896346,14-16  Aldie Street,Ward 22
04/30/19,APPROVED,BOA-853552,146-146A Bunker Hill Street,Ward 2
04/30/19,APPROVED,BOA-911449,85 Cambridge Street,Ward 2
04/30/19,APPROVED,BOA-912313,30 Dunreath Street,Ward 12
04/30/19,APPROVED,BOA-913728,1510-1514 Dorchester Avenue,Ward 16
04/30/19,APPROVED,BOA-907797,744-748 Dudley Street,Ward 7
04/30/19,APPROVED,BOA-911535,546 East Broadway,Ward 6
04/30/19,APPROVED,BOA-916199,26 Ericsson Street,Ward 16
04/30/19,APPROVED,BOA-917620,16 Hawthorne Street,Ward 19
04/30/19,APPROVED,BOA-916289,11 Lorette Street,Ward 20
04/30/19,APPROVED,BOA-903623,4 Melrose Street,Ward 5
